BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01054134;Tating;  929;  456;  473;;
01;Schleswig-Holstein;01054135;Tetenbüll;  650;  307;  343;;
01;Schleswig-Holstein;01054136;Tinningstedt;  242;  117;  125;;
01;Schleswig-Holstein;01054138;Tönning, Stadt; 4 900; 2 385; 2 515;;
01;Schleswig-Holstein;01054140;Tümlauer Koog;  113;  61;  52;;
01;Schleswig-Holstein;01054141;Uelvesbüll;  281;  138;  143;;
01;Schleswig-Holstein;01054142;Uphusum;  374;  185;  189;;
01;Schleswig-Holstein;01054143;Utersum;  414;  187;  227;;
01;Schleswig-Holstein;01054144;Viöl; 2 059; 1 026; 1 033;;
01;Schleswig-Holstein;01054145;Vollerwiek;  195;  101;  94;;
01;Schleswig-Holstein;01054146;Vollstedt;  179;  89;  90;;
01;Schleswig-Holstein;01054148;Welt;  222;  105;  117;;
01;Schleswig-Holstein;01054149;Wenningstedt-Braderup (Sylt); 1 402;  630;  772;;
01;Schleswig-Holstein;01054150;Westerhever;  125;  60;  65;;
01;Schleswig-Holstein;01054152;Wester-Ohrstedt; 1 057;  528;  529;;
01;Schleswig-Holstein;01054154;Westre;  390;  184;  206;;
01;Schleswig-Holstein;01054156;Winnert;  731;  358;  373;;
01;Schleswig-Holstein;01054157;Wisch;  113;  57;  56;;
01;Schleswig-Holstein;01054158;Witsum;  46;  22;  24;;
01;Schleswig-Holstein;01054159;Wittbek;  808;  408;  400;;
01;Schleswig-Holstein;01054160;Wittdün auf Amrum;  750;  345;  405;;
01;Schleswig-Holstein;01054161;Witzwort; 1 031;  513;  518;;
01;Schleswig-Holstein;01054162;Wobbenbüll;  462;  239;  223;;
