GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13075034;Garz;-;-;x;x;x;-;-;x;x;x
13075035;Glasow;-;-;x;x;x;-;-;x;x;x
13075036;Görmin;-;-;x;x;x;-;-;x;x;x
13075037;Grambin;-;-;x;x;x;-;-;x;x;x
13075038;Grambow;-;-;x;x;x;-;-;x;x;x
13075039;Greifswald, Hansestadt;-;-;x;x;x;-;-;x;x;x
13075040;Gribow;-;-;x;x;x;-;-;x;x;x
13075041;Groß Kiesow;-;-;x;x;x;-;-;x;x;x
13075042;Groß Luckow;-;-;x;x;x;-;-;x;x;x
13075043;Groß Polzin;-;-;x;x;x;-;-;x;x;x
13075044;Gützkow, Stadt;-;-;x;x;x;-;-;x;x;x
13075045;Hammer a. d. Uecker;-;-;x;x;x;-;-;x;x;x
13075046;Hanshagen;-;-;x;x;x;-;-;x;x;x
13075047;Heinrichsruh;-;-;x;x;x;-;-;x;x;x
13075048;Heinrichswalde;-;-;x;x;x;-;-;x;x;x
13075049;Heringsdorf;-;-;x;x;x;-;-;x;x;x
13075050;Hinrichshagen;-;-;x;x;x;-;-;x;x;x
13075051;Hintersee;-;-;x;x;x;-;-;x;x;x
13075052;Hohendorf;-;-;x;x;x;-;-;x;x;x
13075053;Iven;-;-;x;x;x;-;-;x;x;x
13075054;Jarmen, Stadt;-;-;x;x;x;-;-;x;x;x
13075055;Jatznick;-;-;x;x;x;-;-;x;x;x
13075056;Kamminke;-;-;x;x;x;-;-;x;x;x
13075057;Karlsburg;-;-;x;x;x;-;-;x;x;x
13075058;Karlshagen;-;-;x;x;x;-;-;x;x;x
13075059;Katzow;-;-;x;x;x;-;-;x;x;x
13075060;Kemnitz;-;-;x;x;x;-;-;x;x;x
13075061;Klein Bünzow;-;-;x;x;x;-;-;x;x;x
13075062;Klein Luckow;-;-;x;x;x;-;-;x;x;x
13075063;Koblentz;-;-;x;x;x;-;-;x;x;x
13075064;Kölzin;-;-;x;x;x;-;-;x;x;x
13075065;Korswandt;-;-;x;x;x;-;-;x;x;x
13075066;Koserow;-;-;x;x;x;-;-;x;x;x
13075067;Krackow;-;-;x;x;x;-;-;x;x;x
13075068;Krien;-;-;x;x;x;-;-;x;x;x
13075069;Kröslin;-;-;x;x;x;-;-;x;x;x
13075070;Kruckow;-;-;x;x;x;-;-;x;x;x
13075071;Krugsdorf;-;-;x;x;x;-;-;x;x;x
13075072;Krummin;-;-;x;x;x;-;-;x;x;x
13075073;Krusenfelde;-;-;x;x;x;-;-;x;x;x
13075074;Lassan, Stadt;-;-;x;x;x;-;-;x;x;x
13075075;Leopoldshagen;-;-;x;x;x;-;-;x;x;x
13075076;Levenhagen;-;-;x;x;x;-;-;x;x;x
13075077;Liepen;-;-;x;x;x;-;-;x;x;x
13075078;Liepgarten;-;-;x;x;x;-;-;x;x;x
13075079;Löcknitz;-;-;x;x;x;-;-;x;x;x
13075080;Loddin;-;-;x;x;x;-;-;x;x;x
13075081;Loissin;-;-;x;x;x;-;-;x;x;x
13075082;Loitz, Stadt;-;-;x;x;x;-;-;x;x;x
13075083;Lubmin;-;-;x;x;x;-;-;x;x;x
13075084;Lübs;-;-;x;x;x;-;-;x;x;x
13075085;Luckow;-;-;x;x;x;-;-;x;x;x
13075086;Lühmannsdorf;-;-;x;x;x;-;-;x;x;x
13075087;Lütow;-;-;x;x;x;-;-;x;x;x
13075088;Medow;-;-;x;x;x;-;-;x;x;x
13075089;Meiersberg;-;-;x;x;x;-;-;x;x;x
13075090;Mellenthin;-;-;x;x;x;-;-;x;x;x
13075091;Mesekenhagen;-;-;x;x;x;-;-;x;x;x
13075092;Mölschow;-;-;x;x;x;-;-;x;x;x
13075093;Mönkebude;-;-;x;x;x;-;-;x;x;x
13075094;Murchin;-;-;x;x;x;-;-;x;x;x
13075095;Nadrensee;-;-;x;x;x;-;-;x;x;x
13075096;Neetzow;-;-;x;x;x;-;-;x;x;x
13075097;Neu Boltenhagen;-;-;x;x;x;-;-;x;x;x
13075098;Neu Kosenow;-;-;x;x;x;-;-;x;x;x
13075099;Neuendorf A;-;-;x;x;x;-;-;x;x;x
13075100;Neuendorf B;-;-;x;x;x;-;-;x;x;x
13075101;Neuenkirchen;-;-;x;x;x;-;-;x;x;x
13075102;Neuenkirchen;-;-;x;x;x;-;-;x;x;x
13075103;Nieden;-;-;x;x;x;-;-;x;x;x
13075104;Papendorf;-;-;x;x;x;-;-;x;x;x
13075105;Pasewalk, Stadt;-;-;x;x;x;-;-;x;x;x
13075106;Peenemünde;-;-;x;x;x;-;-;x;x;x
13075107;Penkun, Stadt;-;-;x;x;x;-;-;x;x;x
13075108;Plöwen;-;-;x;x;x;-;-;x;x;x
13075109;Polzow;-;-;x;x;x;-;-;x;x;x
13075110;Postlow;-;-;x;x;x;-;-;x;x;x
13075111;Pudagla;-;-;x;x;x;-;-;x;x;x
13075112;Putzar;-;-;x;x;x;-;-;x;x;x
13075113;Ramin;-;-;x;x;x;-;-;x;x;x
13075114;Rankwitz;-;-;x;x;x;-;-;x;x;x
13075115;Rollwitz;-;-;x;x;x;-;-;x;x;x
13075116;Rossin;-;-;x;x;x;-;-;x;x;x
13075117;Rossow;-;-;x;x;x;-;-;x;x;x
13075118;Rothemühl;-;-;x;x;x;-;-;x;x;x
13075119;Rothenklempenow;-;-;x;x;x;-;-;x;x;x
13075120;Rubenow;-;-;x;x;x;-;-;x;x;x
13075121;Rubkow;-;-;x;x;x;-;-;x;x;x
13075122;Sarnow;-;-;x;x;x;-;-;x;x;x
13075123;Sassen-Trantow;-;-;x;x;x;-;-;x;x;x
13075124;Sauzin;-;-;x;x;x;-;-;x;x;x
13075125;Schmatzin;-;-;x;x;x;-;-;x;x;x
13075126;Schönwalde;-;-;x;x;x;-;-;x;x;x
13075127;Spantekow;-;-;x;x;x;-;-;x;x;x
13075128;Stolpe;-;-;x;x;x;-;-;x;x;x
13075129;Stolpe auf Usedom;-;-;x;x;x;-;-;x;x;x
13075130;Strasburg, Stadt;-;-;x;x;x;-;-;x;x;x
13075131;Torgelow, Stadt;-;-;x;x;x;-;-;x;x;x
13075132;Torgelow-Holländerei;-;-;x;x;x;-;-;x;x;x
13075133;Trassenheide;-;-;x;x;x;-;-;x;x;x
13075134;Tutow;-;-;x;x;x;-;-;x;x;x
13075135;Ückeritz;-;-;x;x;x;-;-;x;x;x
13075136;Ueckermünde, Stadt;-;-;x;x;x;-;-;x;x;x
13075137;Usedom, Stadt;-;-;x;x;x;-;-;x;x;x
13075138;Viereck;-;-;x;x;x;-;-;x;x;x
13075139;Vogelsang-Warsin;-;-;x;x;x;-;-;x;x;x
13075140;Völschow;-;-;x;x;x;-;-;x;x;x
13075141;Wackerow;-;-;x;x;x;-;-;x;x;x
13075142;Weitenhagen;-;-;x;x;x;-;-;x;x;x
13075143;Wilhelmsburg;-;-;x;x;x;-;-;x;x;x
13075144;Wolgast, Stadt;-;-;x;x;x;-;-;x;x;x
13075145;Wrangelsburg;-;-;x;x;x;-;-;x;x;x
13075146;Wusterhusen;-;-;x;x;x;-;-;x;x;x
13075147;Zemitz;-;-;x;x;x;-;-;x;x;x
13075148;Zempin;-;-;x;x;x;-;-;x;x;x
13075149;Zerrenthin;-;-;x;x;x;-;-;x;x;x
13075150;Ziethen;-;-;x;x;x;-;-;x;x;x
13075151;Zinnowitz;-;-;x;x;x;-;-;x;x;x
13075152;Zirchow;-;-;x;x;x;-;-;x;x;x
13075153;Züsedom;-;-;x;x;x;-;-;x;x;x
13075154;Züssow;-;-;x;x;x;-;-;x;x;x
13075155;Neetzow-Liepen;-;-;-;-;-;-;-;-;-;-
13076001;Alt Krenzlin;-;-;x;x;x;-;-;x;x;x
13076002;Alt Zachun;-;-;x;x;x;-;-;x;x;x
13076003;Balow;-;-;x;x;x;-;-;x;x;x
13076004;Bandenitz;-;-;x;x;x;-;-;x;x;x
13076005;Banzkow;-;-;x;x;x;-;-;x;x;x
13076006;Barkhagen;-;-;x;x;x;-;-;x;x;x
13076007;Barnin;-;-;x;x;x;-;-;x;x;x
13076008;Belsch;-;-;x;x;x;-;-;x;x;x
13076009;Bengerstorf;-;-;x;x;x;-;-;x;x;x
13076010;Besitz;-;-;x;x;x;-;-;x;x;x
13076011;Blankenberg;-;-;x;x;x;-;-;x;x;x
13076012;Blievenstorf;-;-;x;x;x;-;-;x;x;x
13076013;Bobzin;-;-;x;x;x;-;-;x;x;x
13076014;Boizenburg/Elbe, Stadt;-;-;x;x;x;-;-;x;x;x
13076015;Borkow;-;-;x;x;x;-;-;x;x;x
13076016;Brahlstorf;-;-;x;x;x;-;-;x;x;x
13076017;Brenz;-;-;x;x;x;-;-;x;x;x
13076018;Bresegard bei Eldena;-;-;x;x;x;-;-;x;x;x
13076019;Bresegard bei Picher;-;-;x;x;x;-;-;x;x;x
13076020;Brüel, Stadt;-;-;x;x;x;-;-;x;x;x
13076021;Brunow;-;-;x;x;x;-;-;x;x;x
13076022;Buchberg;-;-;x;x;x;-;-;x;x;x
13076023;Bülow;-;-;x;x;x;-;-;x;x;x
13076024;Cambs;-;-;x;x;x;-;-;x;x;x
13076025;Crivitz, Stadt;-;-;x;x;x;-;-;x;x;x
13076026;Dabel;-;-;x;x;x;-;-;x;x;x
13076027;Dambeck;-;-;x;x;x;-;-;x;x;x
13076028;Damm;-;-;x;x;x;-;-;x;x;x
13076029;Demen;-;-;x;x;x;-;-;x;x;x
13076030;Dersenow;-;-;x;x;x;-;-;x;x;x
13076031;Diestelow;-;-;x;x;x;-;-;x;x;x
13076032;Dobbertin;-;-;x;x;x;-;-;x;x;x
13076033;Dobin am See;-;-;x;x;x;-;-;x;x;x
13076034;Dömitz, Stadt;-;-;x;x;x;-;-;x;x;x
13076035;Domsühl;-;-;x;x;x;-;-;x;x;x
13076036;Dümmer;-;-;x;x;x;-;-;x;x;x
13076037;Eldena;-;-;x;x;x;-;-;x;x;x
13076038;Friedrichsruhe;-;-;x;x;x;-;-;x;x;x
13076039;Gallin;-;-;x;x;x;-;-;x;x;x
13076040;Gallin-Kuppentin;-;-;x;x;x;-;-;x;x;x
13076041;Gammelin;-;-;x;x;x;-;-;x;x;x
13076042;Ganzlin;-;-;x;x;x;-;-;x;x;x
13076043;Gischow;-;-;x;x;x;-;-;x;x;x
13076044;Gneven;-;-;x;x;x;-;-;x;x;x
13076045;Godern;-;-;x;x;x;-;-;x;x;x
13076046;Göhlen;-;-;x;x;x;-;-;x;x;x
13076048;Goldberg, Stadt;-;-;x;x;x;-;-;x;x;x
13076049;Gorlosen;-;-;x;x;x;-;-;x;x;x
13076050;Grabow, Stadt;-;-;x;x;x;-;-;x;x;x
13076051;Granzin;-;-;x;x;x;-;-;x;x;x
13076052;Grebbin;-;-;x;x;x;-;-;x;x;x
13076053;Grebs-Niendorf;-;-;x;x;x;-;-;x;x;x
13076054;Gresse;-;-;x;x;x;-;-;x;x;x
13076055;Greven;-;-;x;x;x;-;-;x;x;x
13076056;Groß Godems;-;-;x;x;x;-;-;x;x;x
13076057;Groß Krams;-;-;x;x;x;-;-;x;x;x
13076058;Groß Laasch;-;-;x;x;x;-;-;x;x;x
13076059;Groß Niendorf;-;-;x;x;x;-;-;x;x;x
13076060;Hagenow, Stadt;-;-;x;x;x;-;-;x;x;x
13076061;Herzberg;-;-;x;x;x;-;-;x;x;x
13076062;Hohen Pritz;-;-;x;x;x;-;-;x;x;x
13076063;Holthusen;-;-;x;x;x;-;-;x;x;x
13076064;Hoort;-;-;x;x;x;-;-;x;x;x
13076065;Hülseburg;-;-;x;x;x;-;-;x;x;x
13076066;Karbow-Vietlübbe;-;-;x;x;x;-;-;x;x;x
13076067;Karenz;-;-;x;x;x;-;-;x;x;x
13076068;Karrenzin;-;-;x;x;x;-;-;x;x;x
13076069;Karstädt;-;-;x;x;x;-;-;x;x;x
13076070;Kirch Jesar;-;-;x;x;x;-;-;x;x;x
13076071;Klein Rogahn;-;-;x;x;x;-;-;x;x;x
13076072;Kobrow;-;-;x;x;x;-;-;x;x;x
13076073;Kogel;-;-;x;x;x;-;-;x;x;x
13076074;Körchow;-;-;x;x;x;-;-;x;x;x
13076075;Kreien;-;-;x;x;x;-;-;x;x;x
13076076;Kremmin;-;-;x;x;x;-;-;x;x;x
13076077;Kritzow;-;-;x;x;x;-;-;x;x;x
13076078;Kuhlen-Wendorf;-;-;x;x;x;-;-;x;x;x
13076079;Kuhstorf;-;-;x;x;x;-;-;x;x;x
13076080;Langen Brütz;-;-;x;x;x;-;-;x;x;x
13076081;Langen Jarchow;-;-;x;x;x;-;-;x;x;x
13076082;Leezen;-;-;x;x;x;-;-;x;x;x
13076083;Lehsen;-;-;x;x;x;-;-;x;x;x
13076084;Leussow;-;-;x;x;x;-;-;x;x;x
13076085;Lewitzrand;-;-;x;x;x;-;-;x;x;x
13076086;Lübesse;-;-;x;x;x;-;-;x;x;x
13076087;Lüblow;-;-;x;x;x;-;-;x;x;x
13076088;Lübtheen, Stadt;-;-;x;x;x;-;-;x;x;x
13076089;Lübz, Stadt;-;-;x;x;x;-;-;x;x;x
13076090;Ludwigslust, Stadt;-;-;x;x;x;-;-;x;x;x
13076091;Lutheran;-;-;x;x;x;-;-;x;x;x
13076092;Lüttow-Valluhn;-;-;x;x;x;-;-;x;x;x
13076093;Malk Göhren;-;-;x;x;x;-;-;x;x;x
13076094;Malliß;-;-;x;x;x;-;-;x;x;x
13076095;Marnitz;-;-;x;x;x;-;-;x;x;x
13076096;Mestlin;-;-;x;x;x;-;-;x;x;x
13076097;Milow;-;-;x;x;x;-;-;x;x;x
13076098;Möllenbeck;-;-;x;x;x;-;-;x;x;x
13076099;Moraas;-;-;x;x;x;-;-;x;x;x
13076100;Muchow;-;-;x;x;x;-;-;x;x;x
13076101;Mustin;-;-;x;x;x;-;-;x;x;x
13076102;Neu Gülze;-;-;x;x;x;-;-;x;x;x
13076103;Neu Kaliß;-;-;x;x;x;-;-;x;x;x
13076104;Neu Poserin;-;-;x;x;x;-;-;x;x;x
13076105;Neustadt-Glewe, Stadt;-;-;x;x;x;-;-;x;x;x
13076106;Nostorf;-;-;x;x;x;-;-;x;x;x
13076107;Pampow;-;-;x;x;x;-;-;x;x;x
13076108;Parchim, Stadt;-;-;x;x;x;-;-;x;x;x
13076109;Passow;-;-;x;x;x;-;-;x;x;x
13076110;Pätow-Steegen;-;-;x;x;x;-;-;x;x;x
13076111;Picher;-;-;x;x;x;-;-;x;x;x
13076112;Pinnow;-;-;x;x;x;-;-;x;x;x
13076113;Plate;-;-;x;x;x;-;-;x;x;x
13076114;Plau am See, Stadt;-;-;x;x;x;-;-;x;x;x
13076115;Prislich;-;-;x;x;x;-;-;x;x;x
13076116;Pritzier;-;-;x;x;x;-;-;x;x;x
13076117;Raben Steinfeld;-;-;x;x;x;-;-;x;x;x
13076118;Rastow;-;-;x;x;x;-;-;x;x;x
13076119;Redefin;-;-;x;x;x;-;-;x;x;x
13076120;Rom;-;-;x;x;x;-;-;x;x;x
13076121;Schossin;-;-;x;x;x;-;-;x;x;x
13076122;Schwanheide;-;-;x;x;x;-;-;x;x;x
13076123;Setzin;-;-;x;x;x;-;-;x;x;x
13076124;Severin;-;-;x;x;x;-;-;x;x;x
13076125;Siggelkow;-;-;x;x;x;-;-;x;x;x
13076126;Spornitz;-;-;x;x;x;-;-;x;x;x
13076127;Steesow;-;-;x;x;x;-;-;x;x;x
13076128;Sternberg, Stadt;-;-;x;x;x;-;-;x;x;x
13076129;Stolpe;-;-;x;x;x;-;-;x;x;x
13076130;Stralendorf;-;-;x;x;x;-;-;x;x;x
13076131;Strohkirchen;-;-;x;x;x;-;-;x;x;x
13076132;Suckow;-;-;x;x;x;-;-;x;x;x
13076133;Sukow;-;-;x;x;x;-;-;x;x;x
13076134;Sülstorf;-;-;x;x;x;-;-;x;x;x
13076135;Techentin;-;-;x;x;x;-;-;x;x;x
13076136;Teldau;-;-;x;x;x;-;-;x;x;x
13076137;Tessenow;-;-;x;x;x;-;-;x;x;x
13076138;Tessin b. Boizenburg;-;-;x;x;x;-;-;x;x;x
13076139;Toddin;-;-;x;x;x;-;-;x;x;x
13076140;Tramm;-;-;x;x;x;-;-;x;x;x
13076141;Uelitz;-;-;x;x;x;-;-;x;x;x
13076142;Vellahn;-;-;x;x;x;-;-;x;x;x
13076143;Vielank;-;-;x;x;x;-;-;x;x;x
13076144;Wahlstorf;-;-;x;x;x;-;-;x;x;x
13076145;Warlitz;-;-;x;x;x;-;-;x;x;x
13076146;Warlow;-;-;x;x;x;-;-;x;x;x
13076147;Warsow;-;-;x;x;x;-;-;x;x;x
13076148;Weitendorf;-;-;x;x;x;-;-;x;x;x
13076149;Wendisch Priborn;-;-;x;x;x;-;-;x;x;x
13076150;Wendisch Waren;-;-;x;x;x;-;-;x;x;x
13076151;Werder;-;-;x;x;x;-;-;x;x;x
13076152;Wittenburg, Stadt;-;-;x;x;x;-;-;x;x;x
13076153;Wittendörp;-;-;x;x;x;-;-;x;x;x
13076154;Wittenförden;-;-;x;x;x;-;-;x;x;x
13076155;Witzin;-;-;x;x;x;-;-;x;x;x
13076156;Wöbbelin;-;-;x;x;x;-;-;x;x;x
13076157;Zahrensdorf;-;-;x;x;x;-;-;x;x;x
13076158;Zapel;-;-;x;x;x;-;-;x;x;x
13076159;Zarrentin am Schaalsee, Stadt;-;-;x;x;x;-;-;x;x;x
13076160;Ziegendorf;-;-;x;x;x;-;-;x;x;x
13076161;Zierzow;-;-;x;x;x;-;-;x;x;x
13076162;Zölkow;-;-;x;x;x;-;-;x;x;x
13076163;Zülow;-;-;x;x;x;-;-;x;x;x
13076164;Obere Warnow;-;-;-;-;-;-;-;-;-;-
13076165;Gehlsbach;-;-;-;-;-;-;-;-;-;-
13076166;Ganzlin;-;-;-;-;-;-;-;-;-;-
14161000;Chemnitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14166000;Plauen, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14167000;Zwickau, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14171000;Annaberg, Landkreis;-;-;-;-;-;-;-;-;-;-
14173000;Chemnitzer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
14177000;Freiberg, Landkreis;-;-;-;-;-;-;-;-;-;-
14178000;Vogtlandkreis;-;-;-;-;-;-;-;-;-;-
14181000;Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-;-;-
14182000;Mittweida, Landkreis;-;-;-;-;-;-;-;-;-;-
14188000;Stollberg, Landkreis;-;-;-;-;-;-;-;-;-;-
14191000;Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-;-;-
14193000;Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
14262000;Dresden, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14263000;Görlitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14264000;Hoyerswerda, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14272000;Bautzen, Landkreis;-;-;-;-;-;-;-;-;-;-
14280000;Meißen, Landkreis;-;-;-;-;-;-;-;-;-;-
14284000;Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-;-;-;-
14285000;Riesa-Großenhain, Landkreis;-;-;-;-;-;-;-;-;-;-
14286000;Löbau-Zittau, Landkreis;-;-;-;-;-;-;-;-;-;-
14287000;Sächsische Schweiz, Landkreis;-;-;-;-;-;-;-;-;-;-
14290000;Weißeritzkreis;-;-;-;-;-;-;-;-;-;-
14292000;Kamenz, Landkreis;-;-;-;-;-;-;-;-;-;-
14365000;Leipzig, Kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
14374000;Delitzsch, Landkreis;-;-;-;-;-;-;-;-;-;-
14375000;Döbeln, Landkreis;-;-;-;-;-;-;-;-;-;-
14379000;Leipziger Land, Landkreis;-;-;-;-;-;-;-;-;-;-
14383000;Muldentalkreis;-;-;-;-;-;-;-;-;-;-
14389000;Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-;-;-;-
14511000;Chemnitz, Stadt;32126;31183;31158;25;943;154196;151633;149724;1909;2563
14521010;Amtsberg;1102;1053;1053;-;49;1959;1870;1870;-;89
14521020;Annaberg-Buchholz, Stadt;3694;3461;3461;-;233;12722;12105;12095;10;617
14521030;Aue, Stadt;2611;2460;2453;7;151;10480;9965;9958;7;515
14521040;Auerbach;658;632;632;-;26;1479;1435;1435;-;44
14521050;Bad Schlema;1101;1076;1076;-;25;2775;2708;2708;-;67
14521060;Bärenstein;618;593;593;-;25;1417;1374;1374;-;43
14521070;Bernsbach;1147;1100;1100;-;47;2145;2049;2049;-;96
14521080;Bockau;728;703;703;-;25;1235;1185;1185;-;50
14521090;Börnichen/Erzgeb.;302;289;286;3;13;484;465;453;12;19
14521100;Borstendorf;401;377;377;-;24;765;732;732;-;33
14521110;Breitenbrunn/Erzgeb.;1429;1355;1355;-;74;3158;3044;3016;28;114
14521120;Burkhardtsdorf;1693;1633;1633;-;60;3336;3231;3231;-;105
14521130;Crottendorf;1160;1098;1098;-;62;2172;2034;2034;-;138
14521140;Deutschneudorf;354;325;325;-;29;604;561;561;-;43
14521150;Drebach;1422;1366;1366;-;56;2784;2680;2680;-;104
14521160;Ehrenfriedersdorf, Stadt;1032;986;986;-;46;2781;2680;2680;-;101
14521170;Eibenstock, Stadt;1889;1788;1785;3;101;4289;4079;4067;12;210
14521180;Elterlein, Stadt;825;778;778;-;47;1526;1421;1421;-;105
14521190;Erlbach-Kirchberg;535;511;511;-;24;796;772;772;-;24
14521200;Gelenau/Erzgeb.;1008;961;961;-;47;2431;2340;2340;-;91
14521210;Geyer, Stadt;936;890;890;-;46;2126;2015;2015;-;111
14521220;Gornau/Erzgeb.;1054;1005;1005;-;49;1830;1738;1738;-;92
14521230;Gornsdorf;530;518;518;-;12;1187;1151;1151;-;36
14521240;Großolbersdorf;830;799;799;-;31;1445;1396;1396;-;49
14521250;Großrückerswalde;923;886;886;-;37;1724;1665;1665;-;59
14521260;Grünhain-Beierfeld, Stadt;1542;1459;1459;-;83;3301;3111;3111;-;190
14521270;Grünhainichen;633;611;611;-;22;1212;1168;1168;-;44
14521280;Heidersdorf;242;232;232;-;10;419;397;397;-;22
14521290;Hohndorf;909;885;885;-;24;2076;2012;2012;-;64
14521300;Hormersdorf;402;381;381;-;21;747;711;711;-;36
14521310;Jahnsdorf/Erzgeb.;1568;1500;1500;-;68;2679;2556;2556;-;123
14521320;Johanngeorgenstadt, Stadt;971;938;938;-;33;3048;2969;2969;-;79
14521330;Jöhstadt, Stadt;872;832;832;-;40;1544;1488;1488;-;56
14521340;Königswalde;627;590;590;-;37;1038;966;966;-;72
14521350;Lauter/Sa., Stadt;1163;1104;1104;-;59;2507;2372;2372;-;135
14521355;Lauter-Bernsbach, Stadt;-;-;-;-;-;-;-;-;-;-
14521360;Lengefeld, Stadt;1178;1129;1129;-;49;2234;2132;2132;-;102
14521370;Lößnitz, Stadt;1877;1801;1801;-;76;5369;5237;5237;-;132
14521380;Lugau/Erzgeb., Stadt;1357;1309;1309;-;48;4048;3901;3901;-;147
14521390;Marienberg, Stadt;3034;2865;2865;-;169;7078;6781;6775;6;297
14521400;Mildenau;967;936;933;3;31;1631;1591;1573;18;40
14521410;Neukirchen/Erzgeb.;1750;1706;1706;-;44;3695;3601;3601;-;94
14521420;Niederdorf;344;331;331;-;13;649;630;630;-;19
14521430;Niederwürschnitz;700;670;670;-;30;1476;1428;1428;-;48
14521440;Oberwiesenthal, Kurort, Stadt;630;567;567;-;63;1680;1576;1576;-;104
14521450;Oelsnitz/Erzgeb., Stadt;2844;2746;2746;-;98;6705;6469;6440;29;236
14521460;Olbernhau, Stadt;2200;2066;2066;-;134;5588;5229;5229;-;359
14521470;Pfaffroda;848;798;798;-;50;1268;1205;1205;-;63
14521480;Pobershau;583;558;558;-;25;908;873;873;-;35
14521490;Pockau;1044;982;982;-;62;2045;1930;1930;-;115
14521495;Pockau-Lengefeld, Stadt;-;-;-;-;-;-;-;-;-;-
14521500;Raschau-Markersbach;1202;1136;1130;6;66;2816;2693;2669;24;123
14521510;Scheibenberg, Stadt;562;524;524;-;38;1159;1066;1066;-;93
14521520;Schlettau, Stadt;649;610;610;-;39;1313;1218;1218;-;95
14521530;Schneeberg, Stadt;2817;2673;2670;3;144;8844;8506;8475;31;338
14521540;Schönheide;1153;1094;1094;-;59;2652;2532;2532;-;120
14521550;Schwarzenberg/Erzgeb., Stadt;3208;3047;3047;-;161;10280;9942;9942;-;338
14521560;Sehmatal;1707;1625;1625;-;82;3498;3350;3350;-;148
14521570;Seiffen/Erzgeb., Kurort;764;696;696;-;68;1240;1145;1145;-;95
14521580;Sosa;-;-;-;-;-;-;-;-;-;-
14521590;Stollberg/Erzgeb., Stadt;2385;2260;2260;-;125;6429;6153;6153;-;276
14521600;Stützengrün;1018;981;981;-;37;1722;1659;1659;-;63
14521610;Tannenberg;336;311;311;-;25;555;514;514;-;41
14521620;Thalheim/Erzgeb., Stadt;1289;1203;1203;-;86;3806;3594;3594;-;212
14521630;Thermalbad Wiesenbad;960;918;918;-;42;1777;1702;1702;-;75
14521640;Thum, Stadt;1425;1338;1338;-;87;2852;2634;2634;-;218
14521650;Venusberg;-;-;-;-;-;-;-;-;-;-
14521660;Waldkirchen/Erzgeb.;-;-;-;-;-;-;-;-;-;-
14521670;Wolkenstein, Stadt;998;944;944;-;54;2105;2011;2011;-;94
14521680;Zöblitz, Stadt;818;782;782;-;36;1504;1436;1436;-;68
14521690;Zschopau, Stadt;1997;1885;1885;-;112;5850;5607;5607;-;243
14521700;Zschorlau;1445;1388;1388;-;57;2673;2567;2567;-;106
14521710;Zwönitz, Stadt;2376;2255;2252;3;121;5611;5370;5339;31;241
14522010;Altmittweida;628;612;612;-;16;1022;984;984;-;38
14522020;Augustusburg, Stadt;1323;1265;1265;-;58;2624;2501;2501;-;123
14522030;Bobritzsch;1315;1263;1263;-;52;2189;2112;2112;-;77
14522035;Bobritzsch-Hilbersdorf;-;-;-;-;-;-;-;-;-;-
14522040;Bockelwitz;869;836;836;-;33;1259;1216;1216;-;43
14522050;Brand-Erbisdorf, Stadt;2018;1941;1937;4;77;5820;5637;5586;51;183
14522060;Burgstädt, Stadt;2783;2631;2628;3;152;6432;6178;6142;36;254
14522070;Claußnitz;967;935;935;-;32;1674;1626;1626;-;48
14522080;Döbeln, Stadt;3442;3259;3259;-;183;12394;11890;11890;-;504
14522090;Dorfchemnitz;517;486;486;-;31;789;728;728;-;61
14522100;Ebersbach;370;364;364;-;6;497;488;488;-;9
